Channel Id,Channel Url,Channel Title
UCLK5js2Ozq1MAkUg7t8ESDw,http://www.youtube.com/channel/UCLK5js2Ozq1MAkUg7t8ESDw,Kokalân
UCsXVk37bltHxD1rDPwtNM8Q,http://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell
UCsx-bX-BVBqsDwdxxzpOXMQ,http://www.youtube.com/channel/UCsx-bX-BVBqsDwdxxzpOXMQ,Firm Learning

