Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLbcuOFrev9B6wiv_xB6KcJH6gSd9Ydbx6,UCj9-K1QJ69ieDDhSO3ZK7IA,2019-06-03 16:06:28 UTC,2020-11-12 08:12:03 UTC,Electronic,,Private

Video Id,Time Added
nZknqCWBknU,2019-06-03 16:06:28 UTC
PZ3csT4qZBE,2019-06-05 08:41:08 UTC

