Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLbcuOFrev9B5JpNZYbVhc5WCk8-7Zh2To,UCj9-K1QJ69ieDDhSO3ZK7IA,2019-06-03 16:00:53 UTC,2020-04-16 09:11:12 UTC,Watch later,,Private

Video Id,Time Added
kP15q815Saw,2020-04-16 09:11:12 UTC
8psQtduoJUo,2019-10-26 16:41:29 UTC
RS7IzU2VJIQ,2019-09-18 18:59:44 UTC

